job_id,outstanding_welfare
35BB89AF,Du Lịch
35BB89AF,Phụ cấp
35BB89AE,Chế độ bảo hiểm
35BB89AE,Du Lịch
35BB89AE,Chế độ thưởng
35BB89B5,Chế độ bảo hiểm
35BB89B5,Du Lịch
35BB89B5,Đồng phục
35BB89B3,Chế độ bảo hiểm
35BB89B3,Du Lịch
35BB89B3,Chế độ thưởng
35BB89B9,Chế độ bảo hiểm
35BB89B9,Du Lịch
35BB89B9,Chế độ thưởng
35BB89B7,Chế độ bảo hiểm
35BB89B7,Du Lịch
35BB89B7,Phụ cấp
35BB89BB,Chế độ bảo hiểm
35BB89BB,Du Lịch
35BB89BB,Phụ cấp
35BB89BE,Chế độ bảo hiểm
35BB89BE,Chăm sóc sức khỏe
35BB89BE,Tăng lương
35BB89BD,Chế độ bảo hiểm
35BB89BD,Du Lịch
35BB89BD,Phụ cấp
35BB89B8,Chế độ bảo hiểm
35BB89B8,Du Lịch
35BB89B8,Phụ cấp
35BB89C1,Chế độ bảo hiểm
35BB89C1,Du Lịch
35BB89C1,Phụ cấp
35BB89BA,Laptop
35BB89BA,Chế độ bảo hiểm
35BB89BA,Du Lịch
35BB8998,Chế độ bảo hiểm
35BB8998,Du Lịch
35BB8998,Chế độ thưởng
35BB898D,Chế độ bảo hiểm
35BB898D,Du Lịch
35BB898D,Chế độ thưởng
35BB8990,Unknown
35BB898F,Laptop
35BB898F,Chế độ bảo hiểm
35BB898F,Phụ cấp
35BB898E,Unknown
35BB8999,Chế độ bảo hiểm
35BB8999,Du Lịch
35BB8999,Chế độ thưởng
35BB899A,Chế độ bảo hiểm
35BB899A,Du Lịch
35BB899A,Phụ cấp
35BB8996,Chế độ bảo hiểm
35BB8996,Du Lịch
35BB8996,Phụ cấp
35BB899D,Chế độ bảo hiểm
35BB899D,Du Lịch
35BB899D,Chế độ thưởng
35BB89A9,Laptop
35BB89A9,Chế độ bảo hiểm
35BB89A9,Du Lịch
35BB899B,Chế độ bảo hiểm
35BB899B,Du Lịch
35BB899B,Chế độ thưởng
35BB89AA,Chế độ bảo hiểm
35BB89AA,Du Lịch
35BB89AA,Chế độ thưởng
35BB8982,Chế độ bảo hiểm
35BB8982,Du Lịch
35BB8982,Phụ cấp
35BB894C,Chế độ bảo hiểm
35BB894C,Du Lịch
35BB894C,Chế độ thưởng
35BB8950,Chế độ bảo hiểm
35BB8950,Du Lịch
35BB8950,Chế độ thưởng
35BB8970,Chế độ bảo hiểm
35BB8970,Du Lịch
35BB8970,Chế độ thưởng
35BB896A,Chế độ bảo hiểm
35BB896A,Du Lịch
35BB896A,Chế độ thưởng
35BB871D,Chế độ bảo hiểm
35BB871D,Du Lịch
35BB871D,Phụ cấp
35BB8953,Laptop
35BB8953,Chế độ bảo hiểm
35BB8953,Du Lịch
35BB8952,Chế độ bảo hiểm
35BB8952,Du Lịch
35BB8952,Chế độ thưởng
35BB8860,Chế độ bảo hiểm
35BB8860,Du Lịch
35BB8860,Chế độ thưởng
35BB8955,Chế độ bảo hiểm
35BB8955,Du Lịch
35BB8955,Phụ cấp
35BB8854,Chế độ bảo hiểm
35BB8854,Du Lịch
35BB8854,Chế độ thưởng
35BB8951,Chế độ bảo hiểm
35BB8951,Du Lịch
35BB8951,Đồng phục
35BB884B,Chế độ bảo hiểm
35BB884B,Du Lịch
35BB884B,Chế độ thưởng
35BB8959,Chế độ bảo hiểm
35BB8959,Du Lịch
35BB8959,Đồng phục
35BB890B,Chế độ bảo hiểm
35BB890B,Du Lịch
35BB890B,Phụ cấp
35BB8832,Chế độ bảo hiểm
35BB8832,Du Lịch
35BB8832,Chế độ thưởng
35BB8910,Chế độ bảo hiểm
35BB8910,Du Lịch
35BB8910,Chế độ thưởng
35BB890D,Chế độ bảo hiểm
35BB890D,Du Lịch
35BB890D,Phụ cấp
35BB890E,Laptop
35BB890E,Chế độ bảo hiểm
35BB890E,Du Lịch
35BB8957,Chế độ bảo hiểm
35BB8957,Du Lịch
35BB8957,Phụ cấp
35BB8912,Chế độ bảo hiểm
35BB8912,Du Lịch
35BB8912,Chế độ thưởng
35BB8913,Chế độ bảo hiểm
35BB8913,Chế độ thưởng
35BB8913,Chăm sóc sức khỏe
35BB8914,Chế độ bảo hiểm
35BB8914,Du Lịch
35BB8914,Phụ cấp
35BB890F,Laptop
35BB890F,Chế độ bảo hiểm
35BB890F,Du Lịch
35BB8919,Laptop
35BB8919,Chế độ bảo hiểm
35BB8919,Du Lịch
35BB8917,Chế độ bảo hiểm
35BB8917,Du Lịch
35BB8917,Phụ cấp
35BB891B,Chế độ bảo hiểm
35BB891B,Du Lịch
35BB891B,Phụ cấp
35BB8915,Laptop
35BB8915,Chế độ bảo hiểm
35BB8915,Du Lịch
35BB891C,Chế độ bảo hiểm
35BB891C,Du Lịch
35BB891C,Phụ cấp
35BB891D,Unknown
35BB891A,Laptop
35BB891A,Chế độ bảo hiểm
35BB891A,Du Lịch
35BB891F,Laptop
35BB891F,Chế độ bảo hiểm
35BB891F,Du Lịch
35BB88D3,Laptop
35BB88D3,Chế độ bảo hiểm
35BB88D3,Du Lịch
35BB88CD,Chế độ bảo hiểm
35BB88CD,Du Lịch
35BB88CD,Đồng phục
35BB8920,Unknown
35BB88D0,Laptop
35BB88D0,Chế độ bảo hiểm
35BB88D0,Du Lịch
35BB88D4,Chế độ bảo hiểm
35BB88D4,Du Lịch
35BB88D4,Phụ cấp
35BB8888,Chế độ bảo hiểm
35BB8888,Du Lịch
35BB8888,Chế độ thưởng
35BB88D7,Laptop
35BB88D7,Chế độ bảo hiểm
35BB88D7,Phụ cấp
35BB88D5,Laptop
35BB88D5,Chế độ bảo hiểm
35BB88D5,Du Lịch
35BB88E0,Laptop
35BB88E0,Chế độ bảo hiểm
35BB88E0,Du Lịch
35BB88DC,Chế độ bảo hiểm
35BB88DC,Du Lịch
35BB88DC,Phụ cấp
35BB88D8,Chế độ bảo hiểm
35BB88D8,Du Lịch
35BB88D8,Chế độ thưởng
35BB88DB,Laptop
35BB88DB,Chế độ bảo hiểm
35BB88DB,Du Lịch
35BB88DE,Chế độ bảo hiểm
35BB88DE,Du Lịch
35BB88DE,Phụ cấp
35BB88E2,Unknown
35BB88E1,Laptop
35BB88E1,Chế độ bảo hiểm
35BB88E1,Phụ cấp
35BB888E,Chế độ bảo hiểm
35BB888E,Phụ cấp
35BB888E,Đồng phục
35BB8894,Chế độ bảo hiểm
35BB8894,Du Lịch
35BB8894,Chế độ thưởng
35BB8896,Chế độ bảo hiểm
35BB8896,Du Lịch
35BB8896,Phụ cấp
35BB8890,Chế độ bảo hiểm
35BB8890,Du Lịch
35BB8890,Chế độ thưởng
35BB8897,Unknown
35BB8898,Laptop
35BB8898,Chế độ bảo hiểm
35BB8898,Du Lịch
35BB889D,Unknown
35BB889A,Laptop
35BB889A,Chế độ bảo hiểm
35BB889A,Du Lịch
35BB88A0,Laptop
35BB88A0,Chế độ bảo hiểm
35BB88A0,Du Lịch
35BB8895,Laptop
35BB8895,Chế độ bảo hiểm
35BB8895,Du Lịch
35BB88A5,Chế độ bảo hiểm
35BB88A5,Chế độ thưởng
35BB88A5,Chăm sóc sức khỏe
35BB889E,Chế độ bảo hiểm
35BB889E,Du Lịch
35BB889E,Chế độ thưởng
35BB88A4,Chế độ bảo hiểm
35BB88A4,Du Lịch
35BB88A4,Phụ cấp
35BB889B,Chế độ bảo hiểm
35BB889B,Du Lịch
35BB889B,Phụ cấp
35BB8853,Laptop
35BB8853,Chế độ bảo hiểm
35BB8853,Du Lịch
35BB88A3,Chế độ bảo hiểm
35BB88A3,Du Lịch
35BB88A3,Đồng phục
35BB885C,Unknown
35BB8852,Chế độ bảo hiểm
35BB8852,Du Lịch
35BB8852,Chế độ thưởng
35BB8857,Chế độ bảo hiểm
35BB8857,Du Lịch
35BB8857,Chăm sóc sức khỏe
35BB885D,Chế độ bảo hiểm
35BB885D,Du Lịch
35BB885D,Chế độ thưởng
35BB884F,Chế độ bảo hiểm
35BB884F,Du Lịch
35BB884F,Chế độ thưởng
35BB8848,Laptop
35BB8848,Chế độ bảo hiểm
35BB8848,Du Lịch
35BB8858,Chế độ bảo hiểm
35BB8858,Du Lịch
35BB8858,Phụ cấp
35BB885E,Chế độ bảo hiểm
35BB885E,Du Lịch
35BB885E,Phụ cấp
35BB885A,Chế độ bảo hiểm
35BB885A,Du Lịch
35BB885A,Phụ cấp
35BB885B,Chế độ bảo hiểm
35BB885B,Du Lịch
35BB885B,Đồng phục
35BB8861,Chế độ bảo hiểm
35BB8861,Du Lịch
35BB8861,Phụ cấp
35BB8862,Chế độ bảo hiểm
35BB8862,Du Lịch
35BB8862,Chế độ thưởng
35BB8863,Chế độ bảo hiểm
35BB8863,Du Lịch
35BB8863,Chế độ thưởng
35BB8856,Laptop
35BB8856,Chế độ bảo hiểm
35BB8856,Du Lịch
35BB87CF,Laptop
35BB87CF,Chế độ bảo hiểm
35BB87CF,Phụ cấp
35BB8814,Chế độ bảo hiểm
35BB8814,Du Lịch
35BB8814,Phụ cấp
35BB8812,Chế độ bảo hiểm
35BB8812,Du Lịch
35BB8812,Chế độ thưởng
35BB8816,Chế độ bảo hiểm
35BB8816,Du Lịch
35BB8816,Phụ cấp
35BB881D,Laptop
35BB881D,Chế độ bảo hiểm
35BB881D,Phụ cấp
35BB8815,Laptop
35BB8815,Chế độ bảo hiểm
35BB8815,Xe đưa đón
35BB881B,Laptop
35BB881B,Chế độ bảo hiểm
35BB881B,Phụ cấp
35BB881E,Laptop
35BB881E,Chế độ bảo hiểm
35BB881E,Phụ cấp
35BB880B,Laptop
35BB880B,Chế độ bảo hiểm
35BB880B,Du Lịch
35BB8820,Unknown
