job_id,job_tags
35BB85F4,Phó phòng Nhân sự TCT GĐ Nhân sự CTy Thành viên
35BB85F4,Deputy Head of Office
35BB85F4,Giám đốc nhân sự
35BB85F4,Nhân sự Hành chính
35BB85F4,Quản lý điều hành
35BB85F4,Tiếng Anh
35BB85F4,Cần Thơ
35BB8639,Admin Staff
35BB8639,Admin Officer
35BB8639,Thư ký hành chánh
35BB8639,Nhân viên hành chánh
35BB8639,Admin Executive
35BB8639,Admin Assistant
35BB8639,Trợ lý hành chính
35BB8639,Nhân viên hành chánh văn phòng
35BB8639,Hành chính thư ký
35BB8639,Hành chánh thư ký
35BB8639,Secretary Admin
35BB8639,Nhân viên hành chánh dự án
35BB8639,Administration Staff
35BB8639,Chuyên viên phòng mua sắm và hành chính
35BB8639,Coporate Office Administrator
35BB8639,Administration Executive
35BB8639,Nhân viên hành chánh tổ chức
35BB8639,Thư ký kinh doanh
35BB85F5,Kế toán tổng hợp
35BB85F5,General Accountant
35BB85F5,Kế toán tổng hợp kiêm kế toán thuế
35BB85FC,Unknown
35BB85FA,Recruiment Specialist
35BB85FA,Recruiter
35BB85FA,Talent Acquisition
35BB85FA,Chuyên viên tuyển dụng
35BB85FD,nhân viên vận hành nhà máy
35BB85FD,Vận hành sản xuất
35BB85FD,vận hành nhà máy
35BB85FD,trưởng ca vận hành
35BB85FF,Technician
35BB85FF,Nhân viên kỹ thuật
35BB85FF,Nhân viên phòng kỹ thuật
35BB85FF,Nhân viên kỹ thuật CNTT
35BB85F9,Purchasing Executive
35BB85F9,Purchasing Specialist
35BB85F9,Nhân viên mua hàng
35BB85F9,Purchasing Staff
35BB85F9,Purchaser
35BB85F9,chuyên viên mua hàng
35BB85F9,chuyên viên mua sắm
35BB85F9,quản lý phòng mua hàng
35BB85F9,trưởng phòng cung ứng
35BB85F9,trưởng phòng mua hàng
35BB85F9,chuyên viên xuất nhập khẩu
35BB85F9,trợ lý mua hàng
35BB85F9,senior purchasing
35BB85F9,procurement supervisor
35BB85B2,Medical Representative
35BB85B2,kênh nhà thuốc
35BB85B2,kênh bệnh viện
35BB85B2,OTC Supervisor
35BB85B2,OTC Derivatives Sales
35BB85B2,Assistant Product Manager OTC
35BB85B2,ETC Supervisor
35BB85B2,Nhân viên bán thuốc
35BB85BB,Head of Office
35BB85BB,sale online
35BB85BB,Digital Marketing Manager
35BB85BB,Giám đốc Tiếp thị truyền thông
35BB85B6,Purchasing
35BB85B6,Nhân viên mua hàng  Staff
35BB85B6,Associates  Accountant
35BB85B6,purchasing staff
35BB85B6,purchasing executive
35BB85B6,manager
35BB85B6,Supervisor
35BB85B6,Specialist
35BB85B6,assistant
35BB85BC,Unknown
35BB85C1,[HCM]
35BB85C1,[HCM]Business Development Supervisor - Cosmetic
35BB85BD,Nhân Viên Phòng Kế Toán
35BB85BD,Credit Accountant
35BB85BD,Cán bộ tài chính kế toán
35BB85BD,Accounting Executive
35BB85BD,Accountant cum Office Admin
35BB85BD,Accountant and Administrative Staff
35BB85BD,Kế toán kho vận
35BB85BD,Nhân viên kế toán nhà máy
35BB85BD,Chuyên viên kế toán chuyên quản
35BB85BD,Nhân viên kế toán vật tư
35BB8559,Unknown
35BB85BE,Nhân viên tuyển dụng
35BB85BE,Executive Recruitment
35BB85BE,Recruiter
35BB85BE,Nhân viên tuyển dụng đào tạo
35BB85B9,Nhân viên tạp vụ
35BB85B9,Nhân viên dọn bàn
35BB85B9,Busboy
35BB85B9,Lao công
35BB85B9,Nhân Viên Vệ Sinh
35BB85FB,Chuyên Viên Dịch Vụ Khách Hàng Thanh Sơn - Phú Thọ
35BB85FB,Nhân viên giao hàng chăm sóc khách hàng
35BB85FB,Nhân viên chăm sóc khách hàng mạng di động
35BB85FB,Nhân viên phòng dịch vụ hành chính
35BB85FB,Customer Development Executive
35BB85FB,Customer care Clerk
35BB85FB,Kiểm soát viên dịch vụ khách hàng
35BB85FB,Logistics Customer Service Team Leader Staff
35BB85FB,Nhân viên chăm sóc khách hàng và bán hàng
35BB85FB,Nhân viên kỹ thuật chăm sóc khách hàng
35BB85FB,Customer Services Officer
35BB85C2,Unknown
35BB85C5,Unknown
35BB85C3,Mechanical Technician Da Nang Brewery/Kỹ thuật viên Bảo trì Cơ khí Nhà máy Heineken Đà Nẵng
35BB85C3,Bảo trì cơ khí
35BB85C3,Mechanical Technician
35BB85CC,Head of Office
35BB85CC,Kỹ sư cơ khí
35BB85CC,Quản lý cơ khí
35BB85CC,Trưởng phòng cơ khí
35BB85CC,Giám sát Điều hành
35BB85CC,Autocad
35BB85CC,PI
35BB85CC,Lắp đặt
35BB85CC,Đấu thầu
35BB85CC,ASME
35BB85CC,Naviswork
35BB85C8,Unknown
35BB85A7,Vận hành tuabin
35BB85A7,auxiliary equipment
35BB85A7,Chuyên gia kỹ thuật
35BB85A7,Quảng Ngãi
35BB85A7,Vận hành điện
35BB85A7,Kỹ sư vận hành
35BB85A7,Turbin operate
35BB85A7,Steam turbine
35BB85C9,Purchasing
35BB85C9,Nhân viên mua hàng  Staff
35BB85C9,Associates  Accountant
35BB85C9,Staff/ Executive/ Supervisor/ Manager
