job_id,nganh_nghe
35BB84DA,Xuất nhập khẩu
35BB84E1,Vận chuyển / Giao nhận /  Kho vận
35BB84E1,Kế toán / Kiểm toán
35BB848E,Điện / Điện tử / Điện lạnh
35BB848A,Bán lẻ / Bán sỉ
35BB848A,Bán hàng / Kinh doanh
35BB848A,Dược phẩm
35BB848F,Cơ khí / Ô tô / Tự động hóa
35BB848F,Điện / Điện tử / Điện lạnh
35BB848F,Bảo trì / Sửa chữa
35BB84DF,Bán lẻ / Bán sỉ
35BB84DF,Dịch vụ khách hàng
35BB84DF,Quản lý điều hành
35BB84D6,Vận chuyển / Giao nhận /  Kho vận
35BB8491,Bưu chính viễn thông
35BB8491,CNTT - Phần cứng / Mạng
35BB8491,CNTT - Phần mềm
35BB847F,Unknown
35BB8490,Quản lý điều hành
35BB8490,Ngân hàng
35BB8490,Thống kê
35BB8495,Tiếp thị / Marketing
35BB8495,Bán hàng / Kinh doanh
35BB8495,Dược phẩm
35BB8496,Điện / Điện tử / Điện lạnh
35BB83B4,Kiến trúc
35BB83B4,Xây dựng
35BB83B4,Nội ngoại thất
35BB8498,Ngành khác
35BB8498,Kế toán / Kiểm toán
35BB8498,Ngân hàng
35BB84D4,Nhân sự
35BB8499,Bán hàng / Kinh doanh
35BB8499,Ngân hàng
35BB8499,Thống kê
35BB84A1,Unknown
35BB84A8,Bán hàng / Kinh doanh
35BB84A8,Tư vấn
35BB84A8,Giáo dục / Đào tạo
35BB8497,Tiếp thị / Marketing
35BB8497,Bán lẻ / Bán sỉ
35BB8497,Bán hàng / Kinh doanh
35BB84A5,Kế toán / Kiểm toán
35BB84A5,Tài chính / Đầu tư
35BB84A5,Tư vấn
35BB8458,Hàng không
35BB8458,Tư vấn
35BB8458,Dịch vụ khách hàng
35BB84DB,Xây dựng
35BB84DB,Điện / Điện tử / Điện lạnh
35BB84DB,Kiến trúc
35BB67F4,Tiếp thị / Marketing
35BB67F4,Bán hàng / Kinh doanh
35BB67F4,Y tế / Chăm sóc sức khỏe
35BB845A,Hành chính / Thư ký
35BB845A,Nhân sự
35BB8271,Kế toán / Kiểm toán
35BB8271,Tài chính / Đầu tư
35BB8459,Bất động sản
35BB8459,Bán hàng / Kinh doanh
35BB8459,Quản lý điều hành
35BB845E,Bán hàng / Kinh doanh
35BB845E,Tài chính / Đầu tư
35BB845E,Ngân hàng
35BB845D,Xuất nhập khẩu
35BB845D,Bán hàng / Kinh doanh
35BB845D,Bán lẻ / Bán sỉ
35BB8460,Kiến trúc
35BB8460,Bất động sản
35BB8460,Xây dựng
35BB8351,Tiếp thị / Marketing
35BB8351,Bán hàng / Kinh doanh
35BB8351,Thực phẩm & Đồ uống
35BB8492,Tài chính / Đầu tư
35BB7F0A,Cơ khí / Ô tô / Tự động hóa
35BB7F0A,Điện / Điện tử / Điện lạnh
35BB7F0A,Bảo trì / Sửa chữa
35BB83C2,Bán hàng / Kinh doanh
35BB83C2,Dược phẩm
35BB83C2,Y tế / Chăm sóc sức khỏe
35BB849B,Ngân hàng
35BB849B,Quản lý chất lượng (QA/QC)
35BB849B,Thống kê
35BB845F,Bán hàng / Kinh doanh
35BB845F,Dịch vụ khách hàng
35BB845F,Xuất nhập khẩu
35BB849F,Kế toán / Kiểm toán
35BB849F,Tài chính / Đầu tư
35BB8462,Tài chính / Đầu tư
35BB8462,Xây dựng
35BB8462,Quản lý điều hành
35BB845B,Bán hàng / Kinh doanh
35BB845B,Dược phẩm
35BB845B,Y tế / Chăm sóc sức khỏe
35BB8463,Unknown
35BB7767,Tiếp thị / Marketing
35BB7767,Bán hàng / Kinh doanh
35BB7767,Hành chính / Thư ký
35BB7877,Dược phẩm
35BB7877,Y tế / Chăm sóc sức khỏe
35BB7877,CNTT - Phần cứng / Mạng
35BB795A,Bán hàng / Kinh doanh
35BB795A,Giáo dục / Đào tạo
35BB7765,Tiếp thị / Marketing
35BB7765,Bán hàng / Kinh doanh
35BB7765,Bảo hiểm
35BB7734,Unknown
35BB78B9,Bán hàng / Kinh doanh
35BB78B9,Dịch vụ khách hàng
35BB78B9,Nhân sự
35BB7950,Quảng cáo / Đối ngoại / Truyền Thông
35BB7950,Tiếp thị trực tuyến
35BB7940,Hành chính / Thư ký
35BB7940,Kế toán / Kiểm toán
35BB7940,Bảo hiểm
35BB82BE,Unknown
35BB8402,Tiếp thị / Marketing
35BB8402,Tiếp thị trực tuyến
35BB8402,Quảng cáo / Đối ngoại / Truyền Thông
35BB78A4,Dịch vụ khách hàng
35BB78A4,Hành chính / Thư ký
35BB78A4,Tài chính / Đầu tư
35BB8229,Bán hàng / Kinh doanh
35BB8229,Xây dựng
35BB8229,Nội ngoại thất
35BB8448,Dầu khí
35BB8448,Hóa học
35BB8448,Quản lý chất lượng (QA/QC)
35BB8408,Bán hàng / Kinh doanh
35BB8408,Dệt may / Da giày / Thời trang
35BB8461,Unknown
35BB8464,Thực phẩm & Đồ uống
35BB8464,Công nghệ thực phẩm / Dinh dưỡng
35BB789E,Cơ khí / Ô tô / Tự động hóa
35BB789E,Bảo trì / Sửa chữa
35BB789E,Xây dựng
35BB7CC3,Bán hàng / Kinh doanh
35BB7CC3,Hàng gia dụng / Chăm sóc cá nhân
35BB7CC3,Thực phẩm & Đồ uống
35BB8446,Cơ khí / Ô tô / Tự động hóa
35BB8446,Điện / Điện tử / Điện lạnh
35BB8446,Bảo trì / Sửa chữa
35BB832F,Unknown
35BB7875,Ngân hàng
35BB7875,Chứng khoán
35BB7875,Tài chính / Đầu tư
