job_id,detailed_welfare
35BB85D4,Chăm sóc sức khỏe
35BB85D4,Đào tạo
35BB85D4,Tăng lương
35BB85D4,Công tác phí
35BB85D4,Nghỉ phép năm
35BB8629,Laptop
35BB8629,Chế độ bảo hiểm
35BB8629,Du Lịch
35BB8629,Xe đưa đón
35BB8629,Đồng phục
35BB8629,Chế độ thưởng
35BB8629,Chăm sóc sức khỏe
35BB8629,Đào tạo
35BB8629,Tăng lương
35BB8629,Phụ cấp thâm niên
35BB862A,Laptop
35BB862A,Chế độ bảo hiểm
35BB862A,Du Lịch
35BB862A,Phụ cấp
35BB862A,Đồng phục
35BB862A,Chế độ thưởng
35BB862A,Chăm sóc sức khỏe
35BB862A,Tăng lương
35BB862A,Công tác phí
35BB862A,Phụ cấp thâm niên
35BB862A,Nghỉ phép năm
35BB857F,Chế độ bảo hiểm
35BB857F,Du Lịch
35BB857F,Chế độ thưởng
35BB857F,Chăm sóc sức khỏe
35BB857F,Đào tạo
35BB857F,Tăng lương
35BB857F,Nghỉ phép năm
35BB8624,Chế độ bảo hiểm
35BB8624,Du Lịch
35BB8624,Phụ cấp
35BB8624,Đồng phục
35BB8624,Chế độ thưởng
35BB8624,Tăng lương
35BB8624,Nghỉ phép năm
35BB8621,Chế độ bảo hiểm
35BB8621,Du Lịch
35BB8621,Phụ cấp
35BB8621,Đồng phục
35BB8621,Chế độ thưởng
35BB8621,Chăm sóc sức khỏe
35BB8621,Đào tạo
35BB8621,Tăng lương
35BB8621,Phụ cấp thâm niên
35BB8621,Nghỉ phép năm
35BB8625,Chế độ bảo hiểm
35BB8625,Du Lịch
35BB8625,Phụ cấp
35BB8625,Chế độ thưởng
35BB8625,Đào tạo
35BB8625,Tăng lương
35BB8625,Công tác phí
35BB8625,Nghỉ phép năm
35BB8628,Laptop
35BB8628,Chế độ bảo hiểm
35BB8628,Du Lịch
35BB8628,Phụ cấp
35BB8628,Đồng phục
35BB8628,Chế độ thưởng
35BB8628,Chăm sóc sức khỏe
35BB8628,Tăng lương
35BB8628,Công tác phí
35BB8628,Phụ cấp thâm niên
35BB8628,Nghỉ phép năm
